##Happiness Lines##
HAPPY_REASON_CITY_SIZE	"Tamaño de ciudad"
HAPPY_REASON_DISTANCE_FROM_CAPITOL	"Distancia al capitolio"

HAPPY_REASON_ENEMY_ACTION	"Acción enemiga"
HAPPY_REASON_POLLUTION	"Contaminación"
HAPPY_REASON_STARVATION	"Hambruna"
HAPPY_REASON_PEACE_MOVEMENT	"Descontento guerra"
HAPPY_REASON_WORKDAY	"Horas de trabajo"
HAPPY_REASON_WAGES	"Sueldo"
HAPPY_REASON_RATIONS	"Raciones"
HAPPY_REASON_MARTIAL_LAW	"Ley marcial"
HAPPY_REASON_ENTERTAINERS	"Artistas"
HAPPY_REASON_BUILDINGS	"Edificios"
HAPPY_REASON_WONDERS	"Maravillas"
HAPPY_REASON_CRIME	"Crimen"
HAPPY_REASON_HAPPINESS_ATTACK	"Ataques de felicidad"
HAPPY_REASON_SLAVES_TAKEN	"Esclavos capturados"
HAPPY_REASON_INDULGENCES	"Indulgencias"
HAPPY_REASON_BIO_INFECTION	"Bioinfección"
HAPPY_REASON_REFORMATION	"Reformas"
HAPPY_REASON_POP_TYPE_REMOVED	"Población eliminada"
HAPPY_REASON_POP_TYPE_ADDED	"Población añadida"
HAPPY_REASON_SOOTHSAY	"Adivinos"
HAPPY_REASON_POST_REVOULTION_BLISS	"Felicidad revolucionaria"
HAPPY_REASON_EMANCIPATION	"Emancipación"
HAPPY_REASON_WONDER_TURNS_REMAINING	"Turnos de marav. restantes"
HAPPY_REASON_ATTACKED_CONVERTER	"Convertidor atacado"
HAPPY_REASON_ASSASSINATION	"Bombardeo al gobierno"
HAPPY_REASON_NUM_CITIES	"Tamaño del imperio"
HAPPY_REASON_CONQUEST_DISTRESS	"Descontento conquista"
HAPPY_REASON_SECTHAPPY "Sectarian Happiness"

SCORE_CAT_FEATS "Proezas:"
SCORE_CAT_ADVANCES "Avances:"
SCORE_CAT_WONDERS "Maravillas:"
SCORE_CAT_POPULATION "% de la población mundial:"
SCORE_CAT_RANK "Ranking general:"
SCORE_CAT_OPPONENTS_CONQUERED "Imperios vencidos:"
SCORE_CAT_CITIES0TO30 "Ciudades < 30.000"
SCORE_CAT_CITIES30TO100 "30.000 <= Ciudades < 100.000"
SCORE_CAT_CITIES100TO500 "100.000 <= Ciudades < 500.000"
SCORE_CAT_CITIES500PLUS "Ciudades > 500.000"
SCORE_CAT_CITIES_RECAPTURED "Ciudades conquistadas recuperadas:"
SCORE_CAT_IN_PROGRESS "Partida en progreso:"
SCORE_CAT_DEFEAT "¡Derrota!"
SCORE_CAT_WONDER_VICTORY "¡Victoria por maravilla!"
SCORE_CAT_ALLIED_VICTORY "¡Victoria de los aliados!"
SCORE_CAT_SOLO_VICTORY "¡Victoria individual!"
SCORE_CAT_UNKNOWN "***Desconocido***"




SET_PRICE	"Fijar Precio"

	
	
	
	

